,Time,Comparisons,Exchanges
arr size: 64,,,
Insertion,275250,2143,1842
Insertion,117792,2143,1554
Insertion,125250,2143,1956
Insertion,71209,2143,1652
Insertion,123083,2143,2216
Insertion,161500,2143,2236
Insertion,77292,2143,2022
Insertion,68416,2143,1812
Insertion,70333,2143,1994
Insertion,91500,2143,1970
Insertion,72959,2143,2294
Insertion,71666,2143,2152
Insertion,71417,2143,2056
Insertion,71000,2143,2064
Insertion,69458,2143,1920
Insertion,126000,2143,1758
Insertion,143625,2143,2000
Insertion,71875,2143,2238
Insertion,201958,2143,2126
Insertion,191958,2143,1728
Insertion,130750,2143,1860
Insertion,79292,2143,2092
Insertion,68458,2143,1874
Insertion,68042,2143,1900
Insertion,69375,2143,2006
Insertion,69250,2143,2064
Insertion,73542,2143,2056
Insertion,70250,2143,2168
Insertion,93083,2143,2062
Insertion,124375,2143,2016
Insertion,356375,2143,1918
Insertion,130542,2143,1958
Insertion,138125,2143,1676
Insertion,159875,2143,2290
Insertion,133833,2143,2328
Insertion,71917,2143,2014
Insertion,67584,2143,1958
Insertion,67875,2143,1988
Insertion,40916,2143,1960
Insertion,61333,2143,2034
Insertion,33125,2143,2106
Insertion,32792,2143,2064
Insertion,31875,2143,2022
Insertion,31042,2143,2012
Insertion,29917,2143,1858
Insertion,28834,2143,2034
Insertion,27417,2143,1808
Insertion,28000,2143,1814
Insertion,38292,2143,2074
Insertion,27541,2143,2318
Insertion,24459,2143,1890
Insertion,25125,2143,1952
Insertion,23167,2143,2008
Insertion,22916,2143,2178
Insertion,12541,2143,2108
Insertion,578209,2143,2032
Insertion,12667,2143,2068
Insertion,24542,2143,2134
Insertion,12167,2143,1878
Insertion,12125,2143,1902
Insertion,12333,2143,1980
Insertion,13166,2143,2052
Insertion,13125,2143,2098
Insertion,34916,2143,1776
Insertion,14458,2143,2022
Insertion,12208,2143,1892
Insertion,12209,2143,1994
Insertion,12375,2143,2056
Insertion,12792,2143,2086
Insertion,12209,2143,1888
Insertion,12250,2143,2066
Insertion,12458,2143,2146
Insertion,12708,2143,2086
Insertion,12250,2143,2070
Insertion,12125,2143,1894
Insertion,12292,2143,2006
Insertion,12583,2143,2148
Insertion,12167,2143,1882
Insertion,12209,2143,1934
Insertion,12375,2143,2060
Insertion,12667,2143,2130
Insertion,12792,2143,1986
Insertion,12333,2143,1916
Insertion,12625,2143,2224
Insertion,13625,2143,2012
Insertion,12333,2143,2028
Insertion,12416,2143,2136
Insertion,12292,2143,2136
Insertion,12667,2143,1920
Insertion,12209,2143,1856
Insertion,12333,2143,2022
Insertion,12375,2143,2124
Insertion,12500,2143,1914
Insertion,12250,2143,2026
Insertion,12042,2143,1866
Insertion,12625,2143,2196
Insertion,12500,2143,1936
Insertion,12166,2143,1948
Insertion,12208,2143,2038
Insertion,12458,2143,2158
,,,
,,,
Quick,72958,1345,168
Quick,25834,1317,168
Quick,26000,1231,172
Quick,25416,1278,184
Quick,24833,1164,166
Quick,25042,1174,188
Quick,25834,1248,172
Quick,26333,1297,176
Quick,31084,1257,156
Quick,23791,1152,172
Quick,77125,1265,176
Quick,27542,1226,176
Quick,575958,1513,160
Quick,195208,1322,176
Quick,63833,1526,162
Quick,55583,1308,168
Quick,399208,1402,170
Quick,176250,1321,188
Quick,40042,1241,172
Quick,43166,1313,162
Quick,39625,1296,166
Quick,37708,1234,148
Quick,1163625,1259,182
Quick,19750,1251,178
Quick,22542,1420,166
Quick,18875,1193,178
Quick,19542,1277,164
Quick,20584,1254,180
Quick,19875,1288,190
Quick,19000,1203,166
Quick,20166,1296,178
Quick,19792,1307,174
Quick,20084,1269,176
Quick,20292,1331,172
Quick,19375,1198,166
Quick,20250,1340,176
Quick,20084,1265,180
Quick,21500,1394,182
Quick,19291,1220,174
Quick,18125,1155,172
Quick,19666,1210,184
Quick,18459,1192,166
Quick,19417,1187,182
Quick,19666,1327,166
Quick,19542,1294,160
Quick,20333,1298,180
Quick,20084,1302,154
Quick,20458,1317,168
Quick,19458,1293,164
Quick,22000,1500,172
Quick,20833,1320,176
Quick,21667,1318,166
Quick,20458,1295,176
Quick,19167,1195,184
Quick,19666,1257,164
Quick,19917,1280,168
Quick,20625,1382,160
Quick,19167,1200,168
Quick,20917,1380,172
Quick,18875,1180,166
Quick,18625,1193,162
Quick,18750,1220,156
Quick,11167,1256,160
Quick,3083,1281,156
Quick,2958,1199,168
Quick,3250,1304,164
Quick,3167,1323,166
Quick,3125,1258,170
Quick,3000,1259,162
Quick,3041,1259,176
Quick,3042,1323,162
Quick,3250,1305,172
Quick,3500,1299,182
Quick,3083,1358,172
Quick,3250,1246,164
Quick,3166,1365,176
Quick,2959,1283,162
Quick,2917,1249,168
Quick,2917,1273,160
Quick,3250,1516,170
Quick,3208,1139,176
Quick,3042,1272,160
Quick,3041,1312,170
Quick,2875,1397,166
Quick,2916,1270,184
Quick,2916,1246,168
Quick,2917,1207,164
Quick,3041,1234,172
Quick,3291,1325,164
Quick,3084,1243,178
Quick,2875,1256,180
Quick,3000,1202,176
Quick,4625,1235,168
